                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4834,                 4.2084,                 2.5759,                0.37661,                0.16667,                0.29055,                0.12787,                 2.3442,                 4.5137,                  3.059,                  5e-05,                  5e-05,                  5e-05
                      1,                 2.1102,                 3.9701,                 2.2551,                 0.9164,                0.41531,                0.46459,                0.20559,                  2.254,                 5.7869,                 2.9676,             0.00011139,             0.00011139,             0.00011139
                      2,                 1.6411,                 2.8184,                   1.89,                0.45238,                0.91667,                0.64013,                0.26841,                 1.7811,                 19.542,                 1.9667,             0.00017154,             0.00017154,             0.00017154
                      3,                 1.5616,                 2.6981,                 1.7334,                0.48533,                0.82265,                0.73227,                 0.3101,                 1.6204,                 6.6585,                 2.0507,             0.00023045,             0.00023045,             0.00023045
                      4,                 1.2019,                 2.3656,                 1.4814,                0.79743,                0.16667,                0.23235,                0.06087,                 2.1056,                 10.341,                 2.2535,             0.00028812,             0.00028812,             0.00028812
                      5,                 1.3186,                 1.8216,                 1.3821,                0.41918,                    0.5,                0.54885,                0.31071,                 1.5941,                 8.5036,                 1.8123,             0.00034456,             0.00034456,             0.00034456
                      6,                 1.3811,                 1.9501,                 1.5263,                0.62449,                    0.5,                0.57805,                0.24528,                 1.9581,                 8.7127,                 2.2266,             0.00039975,             0.00039975,             0.00039975
                      7,                 1.3289,                 1.6038,                 1.5171,                0.53353,                  0.684,                0.67228,                0.26393,                 1.8926,                  8.279,                  2.247,             0.00045372,             0.00045372,             0.00045372
                      8,                 1.3564,                 1.6871,                 1.5784,                0.56358,                0.66667,                0.48136,                0.20234,                 1.8429,                 9.3342,                 2.4921,             0.00050644,             0.00050644,             0.00050644
                      9,                 1.4525,                 1.9933,                 1.6962,                0.62341,                0.58333,                 0.3854,                0.14133,                 1.7993,                 13.433,                 2.5873,             0.00055793,             0.00055793,             0.00055793
                     10,                 1.2607,                 1.8646,                  1.526,                0.26366,                0.45504,                0.28331,                0.13339,                  1.882,                 10.745,                 2.9356,             0.00060818,             0.00060818,             0.00060818
                     11,                 1.2562,                 1.5049,                 1.4433,                0.69633,                0.41667,                0.42647,                0.15711,                 2.2328,                 4.7107,                 3.4493,             0.00065719,             0.00065719,             0.00065719
                     12,                 1.3161,                 2.0415,                 1.5023,                 0.5555,                0.47521,                0.52549,                 0.2297,                 1.9679,                 6.2813,                 2.9851,             0.00070496,             0.00070496,             0.00070496
                     13,                 1.3383,                 1.7787,                 1.5018,                 0.5555,                0.47521,                0.52549,                 0.2297,                 1.9679,                 6.2813,                 2.9851,              0.0007515,              0.0007515,              0.0007515
                     14,                 1.4911,                 1.6625,                 1.5651,                0.22641,                0.58333,                0.35312,                0.15618,                 2.1109,                 9.0632,                 2.7985,             0.00079679,             0.00079679,             0.00079679
                     15,                 1.3971,                 3.5778,                 1.7176,                0.29576,                0.66667,                0.36137,                0.12778,                 2.6547,                 16.049,                 5.0072,             0.00084086,             0.00084086,             0.00084086
                     16,                 1.4296,                 1.5649,                 1.5308,                0.26147,                0.58333,                0.36283,                0.18441,                 2.0283,                 15.753,                 3.1547,             0.00088368,             0.00088368,             0.00088368
                     17,                 1.4501,                 1.6782,                 1.5687,                0.26147,                0.58333,                0.36283,                0.18441,                 2.0283,                 15.753,                 3.1547,             0.00092527,             0.00092527,             0.00092527
                     18,                 1.4904,                 1.5594,                 1.5682,                0.32117,                    0.5,                0.30047,                0.14462,                 2.1531,                  13.92,                 3.4193,             0.00096562,             0.00096562,             0.00096562
                     19,                 1.3761,                 1.8097,                 1.4869,                0.30883,                   0.75,                0.42624,                0.15117,                 2.3256,                 14.769,                 3.7854,              0.0010047,              0.0010047,              0.0010047
                     20,                 1.5298,                 1.7161,                 1.8404,                0.30883,                   0.75,                0.42624,                0.15117,                 2.3256,                 14.769,                 3.7854,              0.0010025,              0.0010025,              0.0010025
                     21,                 1.9079,                 1.8672,                  2.286,                 0.1315,                    0.5,                0.07757,                0.03028,                  2.431,                  10.98,                 3.6612,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.4565,                 1.5557,                 1.4919,                0.18596,                   0.25,                0.08038,                 0.0424,                 2.7644,                 6.8793,                 3.8211,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.9794,                 3.1047,                 2.0628,                0.18596,                   0.25,                0.08038,                 0.0424,                 2.7644,                 6.8793,                 3.8211,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.4597,                 1.7666,                 1.5726,                0.58377,                0.16667,                0.07759,                0.02842,                 2.8077,                 7.4602,                 3.2872,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.4384,                 1.5471,                 1.5556,                0.58377,                0.16667,                0.07759,                0.02842,                 2.8077,                 7.4602,                 3.2872,               0.000953,               0.000953,               0.000953
                     26,                 1.5467,                 1.5756,                 1.7287,                0.30869,                    0.5,                0.21311,                0.07611,                 2.2679,                 7.9684,                 2.9264,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.6095,                 1.5391,                 1.7446,                0.13405,                0.66667,                0.19194,                 0.0515,                 2.2804,                  6.461,                 2.9639,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.5132,                 1.4741,                 1.5617,                0.13405,                0.66667,                0.19194,                 0.0515,                 2.2804,                  6.461,                 2.9639,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.5463,                 1.5038,                  1.707,                 0.6662,                0.16667,                 0.2032,                0.09582,                 2.3232,                  6.859,                 2.6688,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.5447,                 1.5552,                 1.5609,                0.62464,                0.33333,                0.13418,                0.06284,                 2.1599,                 7.4302,                 2.5112,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.4407,                 1.3919,                 1.5715,                0.62464,                0.33333,                0.13418,                0.06284,                 2.1599,                 7.4302,                 2.5112,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.4442,                 1.5634,                 1.4865,                0.28315,                0.33333,                0.25233,                0.12524,                 2.1919,                 6.2264,                 2.5768,             0.00086637,             0.00086637,             0.00086637
